HoleID,HoleType,Year,Property,Prospect,Grid,Easting,Northing,Elevation,NewsRelease,Length_m,Dip,Azimuth
NB20-007,DDH,2020,NIDD,Boundary West,NAD83 / UTM zone 9N,421947.379,7010539.093,1196.728,2021-02-25,90,-70,214.36
NB20-008,DDH,2020,NIDD,Boundary West,NAD83 / UTM zone 9N,422169.854,7010554.109,1202.586,2021-02-25,324,-50,215.33
NB20-009,DDH,2020,NIDD,Boundary West,NAD83 / UTM zone 9N,421947.536,7010539.189,1196.626,2021-02-25,447.16,-75,206.36
NB21-001,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,422052.264,7010613.624,1217.417,2021-08-17,277,-65,212.18
NB21-002,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,422052.545,7010614.025,1217.597,2021-09-16,439,-75,212.18
NB21-003,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,421931.832,7010643.529,1226.328,2021-11-23,189,-50,205.18
NB21-004,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,421931.937,7010643.597,1226.472,2021-11-23,385.7,-75,205.18
NB21-005,DDH,2021,NIDD,Boundary,NAD83 / UTM zone 9N,422397.382,7010550.251,1203.145,2021-11-18,481.7,-75,212.16
NB21-006,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,422093.024,7010515.98,1188.16,2021-11-23,157.37,-50,212.16
NB21-007,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,422094.152,7010517.585,1188.656,2021-11-23,106.7,-70,212.15
NB21-008,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,422094.157,7010517.598,1188.639,2021-11-23,325.8,-75,212.15
NB21-009,DDH,2021,NIDD,Boundary West,NAD83 / UTM zone 9N,422128.041,7010632.399,1222.956,2022-03-10,445.6,-68,212.14
NB21-010,DDH,2021,NIDD,Boundary,NAD83 / UTM zone 9N,422190.497,7010400.374,1159.259,2022-03-10,190.5,-75,211.13
NB22-001,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,421861.117,7010461.228,1177.922,2022-11-22,463.4,-58,30
NB22-002,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,421940.038,7010404.7,1164.044,2022-11-22,491,-57,33
NB22-003,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422105.204,7010682.598,1238.313,2023-01-31,64,-76,212
NB22-004,DDH,2022,NIDD,Boundary West,NAD83 / UTM zone 9N,422105.204,7010682.598,1238.313,2023-02-15,403,-76,211
NB22-005,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422229.606,7010523.695,1193.404,2023-01-31,326,-50,214
NB22-006,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422538.692,7010536.055,1194.859,2023-01-31,375,-55,207
NB22-007,DDH,2022,NIDD,Boundary West,NAD83 / UTM zone 9N,421940.489,7010405.115,1164.063,2023-02-15,365,-47,36
NB22-008,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422274.034,7010599.507,1216.699,2023-01-31,213,-68.5,207
NB22-009,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422438.376,7010417.165,1165.393,2023-02-27,147.5,-50,210.57
NB22-010,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422389.658,7010384.863,1151.642,2023-02-27,91,-50.2,207
NB22-011,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422439.673,7010418.553,1163.806,2023-02-27,265.3,-69,208
NB22-012,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422342.493,7010619.984,1219.031,2023-03-02,353,-65,201
NB22-013,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422389.834,7010386.278,1149.852,2023-02-27,127,-70.3,205
NB22-014,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422329.845,7010383.778,1146.239,2023-02-15,31,-50,212
NB22-015,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422330.608,7010384.989,1146.358,2023-03-02,145,-75,212
NB22-016,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422330.071,7010384.017,1146.193,2023-02-15,58,-55,225.13
NB22-017,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422330.818,7010385.301,1146.555,2023-03-02,80,-85,212
NB22-018,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422308.198,7010434.347,1165.99,2023-02-27,271,-58,216
NB22-019,DDH,2022,NIDD,Boundary West,NAD83 / UTM zone 9N,421947.819,7010671.759,1232.44,2023-02-15,340,-57,180
NB22-020,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422308.213,7010434.827,1166.45,2023-02-27,149,-70,210.99
NB22-021,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422308.841,7010435.065,1166.87,2023-02-27,112,-82,210.99
NB22-022,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422291.531,7010473.541,1181.652,2023-03-02,327,-56,211
NB22-023,DDH,2022,NIDD,Boundary,NAD83 / UTM zone 9N,422291.921,7010474.287,1181.85,2023-03-02,367,-70,211
NB23-001,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422291.988,7010475.445,1182.026,2023-07-26,460,-75.66,211.99
NB23-002,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422230.083,7010525.05,1193.659,2023-07-26,351,-68.9,214.06
NB23-003,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422230.411,7010525.34,1193.75,2023-07-26,418,-76.71,213.4
NB23-004,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422171.248,7010556.997,1203.478,2023-08-22,431.05,-77.85,213.91
NB23-005,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422057.779,7010588.543,1207.817,2023-08-22,234,-50.99,198.14
NB23-006,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422170.82,7010556.76,1203.444,2023-08-22,373,-69.28,215.44
NB23-007,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422058.193,7010590.289,1208.641,2023-08-22,461,-85.82,206.37
NB23-008,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422170.624,7010556.598,1203.12,2023-08-22,385,-59.84,214.2
NB23-009,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422058.3,7010590.695,1208.17,2023-10-24,67,-75.03,198.54
NB23-010,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422239.461,7010382.307,1149.614,2023-10-24,96,-44.35,212.44
NB23-011,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422058.305,7010589.827,1208.3,2023-10-24,289,-76.04,201.59
NB23-012,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422288.251,7010534.154,1201.855,2023-10-24,452,-69.9,211.75
NB23-013,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422070.872,7010667.395,1232.991,2023-10-24,551,-77.22,214.94
NB23-014,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422241.037,7010384.652,1150.728,2023-10-24,223.2,-70.83,213.68
NB23-015,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422241.697,7010387.822,1153.233,2023-10-24,339,-83.83,216.07
NB23-016,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422274.052,7010600.701,1215.184,2023-10-24,460.92,-73.35,209.92
NB23-017,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422278.24,7010358.042,1144.652,2023-11-30,96,-49.88,190.27
NB23-018,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422279.105,7010359.353,1141.886,2023-11-30,195,-66.1,190.21
NB23-019,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422288.506,7010535.654,1201.305,2023-11-30,560.5,-82.38,209.95
NB23-020,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422464.709,7010511.321,1191.487,2023-11-30,414,-63.68,208.61
NB23-021,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422389.998,7010502.724,1190.173,2023-11-30,442,-77.29,201.96
NB23-022,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,421947.943,7010675.432,1233.947,2024-01-09,386,-73.2,178.3
NB23-022D1,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,421947.943,7010675.432,1233.947,2024-01-09,448,-73.2,178.3
NB23-023,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422448.156,7010350.198,1144.763,2024-01-22,181,-49.6,209.89
NB23-024,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422348.491,7010550.794,1204.024,2023-11-30,405,-50.72,199.65
NB23-025,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422342.848,7010621.248,1220.744,2023-11-30,581.5,-72.29,196.94
NB23-026,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422448.695,7010351,1144.952,2023-11-30,111,-65.31,210.02
NB23-027,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422348.991,7010552.195,1204.371,2023-11-30,451,-72.36,198.93
NB23-028,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422224.711,7010585.531,1209.76,2024-01-09,477,-76.08,212.27
NB23-029,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422123.896,7010733.367,1249.971,2024-01-09,629.5,-76.46,196.1
NB23-029D1,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422123.896,7010733.367,1249.971,2024-01-09,689.5,-76.46,196.1
NB23-030,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422535.027,7010615.06,1214.186,2023-11-30,526,-62.29,210.77
NB23-031,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422329.29,7010670.968,1235.88,2024-01-09,574,-68.89,207.69
NB23-032,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422164.878,7010640.137,1224.088,2024-01-09,493.34,-72.88,211.98
NB23-033,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422227.789,7010663.243,1233.009,2024-01-22,681,-73.13,211.31
NB23-034,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422138.066,7010674.103,1237.236,2024-01-22,580,-71.87,199.08
NB23-035,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422228.191,7010663.015,1232.972,2024-01-22,552.28,-72.39,198.53
NB23-036,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422287.743,7010533.915,1201.952,2024-01-22,397.2,-59.97,212.26
NB23-037,DDH,2023,NIDD,Boundary West,NAD83 / UTM zone 9N,422227.763,7010662.673,1232.939,2024-01-22,544,-66.6,204.73
NB23-038,DDH,2023,NIDD,Boundary,NAD83 / UTM zone 9N,422001.354,7010674.583,1233.127,2024-01-09,426.5,-68.1,180.94
